lr,batch_size,dropout,fold,trained_epochs,train_loss,train_acc,train_UF1,train_UAR,train_f1_micro,train_recall_micro,val_loss,val_acc,val_UF1,val_UAR,val_f1_micro,val_recall_micro,train_time_sec
5e-05,128,0.0,0,1,0.14950111188571222,0.9452788757136583,0.9359980612989866,0.9197241206585388,0.9452788757136583,0.9452788757136583,7.799203012837097e-05,1.0,1.0,1.0,1.0,1.0,223.48965072631836
5e-05,128,0.0,1,1,0.15652035574580705,0.9421204946066825,0.9286500341846505,0.91226481131651,0.9421204946066825,0.9421204946066825,0.004834486651636752,1.0,1.0,1.0,1.0,1.0,216.42069005966187
5e-05,128,0.0,2,1,0.14134454207643907,0.9468001053463261,0.9340117911679853,0.9225926673644982,0.9468001053463261,0.9468001053463261,5.278028402244672e-05,1.0,1.0,1.0,1.0,1.0,212.5534152984619
5e-05,128,0.0,3,1,0.15021250071653203,0.944737227345923,0.934587991794242,0.9195300849548738,0.944737227345923,0.944737227345923,4.233240179019049e-05,1.0,1.0,1.0,1.0,1.0,209.62070870399475
5e-05,128,0.0,4,1,0.13886788692524643,0.9495627504314,0.9380402419234457,0.9197979083617928,0.9495627504314,0.9495627504314,0.00011895822535734624,1.0,1.0,1.0,1.0,1.0,214.553879737854
5e-05,128,0.0,5,1,0.13658376386707952,0.948688678140733,0.9307291479544025,0.9238274646288475,0.948688678140733,0.948688678140733,6.992244743742049e-05,1.0,1.0,1.0,1.0,1.0,217.4362678527832
5e-05,128,0.0,6,1,0.14052798117005247,0.9484534574078951,0.9350131027011286,0.9248365335471121,0.9484534574078951,0.9484534574078951,2.8968770493520424e-05,1.0,1.0,1.0,1.0,1.0,213.1221785545349
5e-05,128,0.0,7,1,0.1337296179332196,0.950215308902364,0.9403063534224941,0.924563308401107,0.950215308902364,0.950215308902364,0.00010281308641424403,1.0,1.0,1.0,1.0,1.0,217.16550278663635
5e-05,128,0.0,8,1,0.15263235065567837,0.9434364682852718,0.9323806673869789,0.9131149807499876,0.9434364682852718,0.9434364682852718,0.002211568659557161,1.0,1.0,1.0,1.0,1.0,211.70619654655457
5e-05,128,0.0,9,1,0.14554622624087007,0.9471101737118083,0.9316228414436999,0.9160107215302803,0.9471101737118083,0.9471101737118083,0.0008417848730459809,1.0,1.0,1.0,1.0,1.0,212.57221269607544
5e-05,128,0.0,10,1,0.14428423403801788,0.9467129141786677,0.929536465125426,0.9174151197453667,0.9467129141786677,0.9467129141786677,5.815356780658476e-05,1.0,1.0,1.0,1.0,1.0,211.30143761634827
5e-05,128,0.0,11,1,0.13603054080732627,0.950258567797353,0.9401743256365083,0.9256409834800946,0.950258567797353,0.950258567797353,4.304398050472361e-05,1.0,1.0,1.0,1.0,1.0,212.02593612670898
5e-05,128,0.0,12,1,0.14585663171969945,0.9460258888303169,0.9352853796779081,0.9201019315550797,0.9460258888303169,0.9460258888303169,2.062864223262295e-05,1.0,1.0,1.0,1.0,1.0,213.797434091568
5e-05,128,0.0,13,1,0.15380668015699997,0.9440931049626702,0.9345220537356242,0.9162145808770538,0.9440931049626702,0.9440931049626702,0.00017702045443002135,1.0,1.0,1.0,1.0,1.0,210.6269154548645
5e-05,128,0.0,14,1,0.15251660537939052,0.9436246523203045,0.9359007070468688,0.9188346697612145,0.9436246523203045,0.9436246523203045,0.00011337548494338989,1.0,1.0,1.0,1.0,1.0,213.91134428977966
5e-05,128,0.0,15,1,0.16671028117240083,0.9375640462596985,0.9278224986713332,0.9090607895459891,0.9375640462596985,0.9375640462596985,0.0003391644568182528,1.0,1.0,1.0,1.0,1.0,213.49858784675598
5e-05,128,0.0,16,1,0.1727448583312513,0.9380392156862745,0.926276423232998,0.9060252728340453,0.9380392156862745,0.9380392156862745,7.893529872297111e-05,1.0,1.0,1.0,1.0,1.0,218.23597764968872
5e-05,128,0.0,18,1,0.16822750300454978,0.9387501825083954,0.9282220637738138,0.9105096305285763,0.9387501825083954,0.9387501825083954,0.00012261327455600357,1.0,1.0,1.0,1.0,1.0,217.93963098526
5e-05,128,0.0,19,1,0.1336496357737155,0.9502430738593101,0.9348418815962365,0.9256346179150065,0.9502430738593101,0.9502430738593101,5.2971481636632234e-05,1.0,1.0,1.0,1.0,1.0,213.59709978103638
5e-05,128,0.0,20,1,0.14915239412775694,0.9445469724931892,0.9277472559506247,0.9175817833332031,0.9445469724931892,0.9445469724931892,0.0003388198383618146,1.0,1.0,1.0,1.0,1.0,215.59349370002747
5e-05,128,0.0,21,1,0.13782891926020863,0.9498037837521233,0.9347692891582696,0.9270367436383061,0.9498037837521233,0.9498037837521233,2.0752120690303855e-05,1.0,1.0,1.0,1.0,1.0,212.7800145149231
5e-05,128,0.0,22,1,0.140394434362622,0.9500730994152047,0.938953836720763,0.9222575057979606,0.9500730994152047,0.9500730994152047,9.462918064350056e-05,1.0,1.0,1.0,1.0,1.0,217.15188932418823
5e-05,128,0.0,23,1,0.1417790124973979,0.9487291977420959,0.9375392509944126,0.9199041675108847,0.9487291977420959,0.9487291977420959,8.793258166406304e-05,1.0,1.0,1.0,1.0,1.0,214.6179757118225
5e-05,128,0.0,24,1,0.1354385337704096,0.950911538348989,0.9413272183897309,0.9256471596375376,0.950911538348989,0.950911538348989,5.8629517297958955e-05,1.0,1.0,1.0,1.0,1.0,213.6533169746399
5e-05,128,0.0,25,1,0.12464368173591979,0.9547114148849165,0.9392671798118649,0.9310657561693564,0.9547114148849165,0.9547114148849165,1.835087021862381e-05,1.0,1.0,1.0,1.0,1.0,218.35753846168518
