lr,batch_size,dropout,fold,trained_epochs,train_loss,train_acc,train_UF1,train_UAR,train_f1_micro,train_recall_micro,val_loss,val_acc,val_UF1,val_UAR,val_f1_micro,val_recall_micro,train_time_sec
1e-05,128,0.0,0,1,0.1568037116158011,0.943261642920346,0.942630884986916,0.9255778181830012,0.943261642920346,0.943261642920346,0.00023441585528169884,1.0,1.0,1.0,1.0,1.0,333.6467373371124
1e-05,128,0.0,1,1,0.15800810134809187,0.9432263187338711,0.9419484849205008,0.9234114944159723,0.9432263187338711,0.9432263187338711,0.0008258772267697331,1.0,1.0,1.0,1.0,1.0,340.96357107162476
1e-05,128,0.0,2,1,0.16729206061587898,0.9403620007586843,0.9305235059343303,0.9199652981809437,0.9403620007586843,0.9403620007586843,0.0010473557049408555,1.0,1.0,1.0,1.0,1.0,342.76800441741943
1e-05,128,0.0,3,1,0.15743918595120954,0.9435319202761063,0.9384158474600462,0.9215523142358892,0.9435319202761063,0.9435319202761063,0.0003561567864380777,1.0,1.0,1.0,1.0,1.0,341.7513761520386
1e-05,128,0.0,4,1,0.15191417908396598,0.9462022463807309,0.9471735354905704,0.9320022278032487,0.9462022463807309,0.9462022463807309,0.0012452127793204715,1.0,1.0,1.0,1.0,1.0,341.10192489624023
1e-05,128,0.0,5,1,0.15288241017619378,0.9463327370304114,0.9445497416205237,0.9286153144726238,0.9463327370304114,0.9463327370304114,0.0009356322116218507,1.0,1.0,1.0,1.0,1.0,340.635947227478
1e-05,128,0.0,6,1,0.16434055916758797,0.9417086516062625,0.9375865953219924,0.9216116627347445,0.9417086516062625,0.9417086516062625,0.0008551975005064849,1.0,1.0,1.0,1.0,1.0,341.700724363327
1e-05,128,0.0,7,1,0.1596428528449962,0.9432424127397285,0.9339681462785178,0.9249990013866835,0.9432424127397285,0.9432424127397285,0.00796370580792427,1.0,1.0,1.0,1.0,1.0,340.2074604034424
1e-05,128,0.0,8,2,0.0012635915359443192,0.9997925011728195,0.9997978500917165,0.9997924237812975,0.9997925011728195,0.9997925011728195,0.00023345186029531299,1.0,1.0,1.0,1.0,1.0,374.51477241516113
1e-05,128,0.0,9,1,0.17090557478163354,0.9390855616903034,0.9378874243612998,0.9196788922115517,0.9390855616903034,0.9390855616903034,0.0011041056446080644,1.0,1.0,1.0,1.0,1.0,337.6155288219452
1e-05,128,0.0,10,1,0.17829828979485488,0.9359856281370743,0.9327055220324457,0.9145028794510297,0.9359856281370743,0.9359856281370743,0.008467734400700365,1.0,1.0,1.0,1.0,1.0,347.11242294311523
1e-05,128,0.0,11,1,0.1423597461096336,0.9496606743195437,0.9485762135120792,0.9330299361231502,0.9496606743195437,0.9496606743195437,0.0007360610804796495,1.0,1.0,1.0,1.0,1.0,346.58302903175354
1e-05,128,0.0,12,1,0.14803896016331144,0.9476231758416414,0.9462225195256645,0.9312685686914725,0.9476231758416414,0.9476231758416414,0.001284969097469002,1.0,1.0,1.0,1.0,1.0,345.59237337112427
1e-05,128,0.0,13,1,0.16133213964361642,0.9428811537627413,0.9427529082230739,0.9247715377883748,0.9428811537627413,0.9428811537627413,0.0004948967252857983,1.0,1.0,1.0,1.0,1.0,344.7747356891632
1e-05,128,0.0,14,1,0.1673820604756416,0.9399707174231332,0.9283269936272377,0.9171355865473982,0.9399707174231332,0.9399707174231332,0.0010808949591591954,1.0,1.0,1.0,1.0,1.0,342.643839597702
1e-05,128,0.0,15,1,0.1489181107332417,0.9476975348803586,0.9455430989526311,0.9292037267851797,0.9476975348803586,0.9476975348803586,0.0016886371886357665,1.0,1.0,1.0,1.0,1.0,342.366082906723
1e-05,128,0.0,16,1,0.1664038287412579,0.940551959726717,0.940755373708107,0.9225908214799868,0.940551959726717,0.940551959726717,0.0013058868719747773,1.0,1.0,1.0,1.0,1.0,346.8042862415314
1e-05,128,0.0,17,1,0.16008271060540344,0.9429351264392748,0.941780340320892,0.9228897234122062,0.9429351264392748,0.9429351264392748,0.0003330201143398881,1.0,1.0,1.0,1.0,1.0,341.89959740638733
1e-05,128,0.0,18,1,0.166546837813614,0.9408549783549783,0.9377260259365026,0.9190904088639471,0.9408549783549783,0.9408549783549783,0.0009033487100775043,1.0,1.0,1.0,1.0,1.0,348.3624608516693
1e-05,128,0.0,19,1,0.1513581725943184,0.9458795920209405,0.9419029639002107,0.9280296794777142,0.9458795920209405,0.9458795920209405,0.00038321819003539703,1.0,1.0,1.0,1.0,1.0,349.5429606437683
1e-05,128,0.0,20,1,0.17007756892329698,0.9405485048993022,0.9360260922761247,0.9219227538474187,0.9405485048993022,0.9405485048993022,0.0030334112234413624,1.0,1.0,1.0,1.0,1.0,350.70304679870605
1e-05,128,0.0,21,1,0.1562991808108566,0.9446794663195575,0.9424431550786052,0.9250590624004208,0.9446794663195575,0.9446794663195575,5.87833346799016e-05,1.0,1.0,1.0,1.0,1.0,348.52298879623413
1e-05,128,0.0,22,1,0.16237757817506074,0.9414753447404519,0.9407482495437861,0.9212826746544387,0.9414753447404519,0.9414753447404519,0.004042336855221678,1.0,1.0,1.0,1.0,1.0,347.625239610672
